district,pct_white_nh,pct_black,pct_hispanic,pct_asian,pct_other,pct_college,pct_under_30,pct_65_plus,median_age,median_income,total_population,source
CA-01,64.54,1.7,22.92,3.65,7.19,,,,,,765487,DRA_VAP_NH_2020
CA-02,72.95,1.63,13.05,4.16,8.2,,,,,,765001,DRA_VAP_NH_2020
CA-03,60.99,5.18,16.46,10.39,6.98,,,,,,763291,DRA_VAP_NH_2020
CA-04,54.61,2.18,27.46,9.76,5.99,,,,,,758116,DRA_VAP_NH_2020
CA-05,59.46,2.45,25.5,6.15,6.45,,,,,,770847,DRA_VAP_NH_2020
CA-06,54.53,6.54,19.82,11.83,7.27,,,,,,757442,DRA_VAP_NH_2020
CA-07,43.92,8.22,20.72,19.82,7.32,,,,,,758734,DRA_VAP_NH_2020
CA-08,33.53,13.36,28.01,18.36,6.74,,,,,,764945,DRA_VAP_NH_2020
CA-09,29.07,11.15,34.46,19.28,6.03,,,,,,762401,DRA_VAP_NH_2020
CA-10,52.85,3.82,17.92,19.72,5.69,,,,,,759118,DRA_VAP_NH_2020
CA-11,44.64,5.17,13.19,31.34,5.66,,,,,,759192,DRA_VAP_NH_2020
CA-12,35.19,15.48,21.18,21.78,6.37,,,,,,758548,DRA_VAP_NH_2020
CA-13,24.33,3.74,60.48,7.57,3.88,,,,,,758808,DRA_VAP_NH_2020
CA-14,27.03,4.76,21.73,40.89,5.58,,,,,,760582,DRA_VAP_NH_2020
CA-15,30.18,2.69,24.65,37.11,5.37,,,,,,759058,DRA_VAP_NH_2020
CA-16,45.28,1.96,18.08,29.95,4.72,,,,,,758780,DRA_VAP_NH_2020
CA-17,23.36,2.1,15.82,54.97,3.74,,,,,,758885,DRA_VAP_NH_2020
CA-18,22.04,2.06,61.12,11.45,3.32,,,,,,770826,DRA_VAP_NH_2020
CA-19,51.71,2.23,21.98,18.6,5.48,,,,,,758545,DRA_VAP_NH_2020
CA-20,51.34,3.13,33.88,6.27,5.39,,,,,,762909,DRA_VAP_NH_2020
CA-21,22.68,4.61,59.63,9.69,3.39,,,,,,756411,DRA_VAP_NH_2020
CA-22,17.02,5.23,69.81,5.19,2.75,,,,,,778145,DRA_VAP_NH_2020
CA-23,43.54,8.01,38.73,4.42,5.3,,,,,,769312,DRA_VAP_NH_2020
CA-24,54.04,1.68,34.0,5.54,4.74,,,,,,764734,DRA_VAP_NH_2020
CA-25,33.29,3.69,56.17,3.46,3.4,,,,,,763761,DRA_VAP_NH_2020
CA-26,46.61,2.25,38.01,8.93,4.2,,,,,,758413,DRA_VAP_NH_2020
CA-27,34.37,9.47,42.36,9.51,4.29,,,,,,760129,DRA_VAP_NH_2020
CA-28,28.14,3.93,25.71,39.04,3.18,,,,,,758019,DRA_VAP_NH_2020
CA-29,25.12,4.08,59.58,8.51,2.71,,,,,,757430,DRA_VAP_NH_2020
CA-30,57.06,3.5,21.98,12.88,4.58,,,,,,758223,DRA_VAP_NH_2020
CA-31,20.9,3.41,53.16,19.72,2.8,,,,,,758733,DRA_VAP_NH_2020
CA-32,55.84,3.75,22.79,12.85,4.77,,,,,,758634,DRA_VAP_NH_2020
CA-33,20.83,10.44,57.08,8.16,3.49,,,,,,757177,DRA_VAP_NH_2020
CA-34,12.37,4.46,61.62,19.02,2.53,,,,,,757694,DRA_VAP_NH_2020
CA-35,20.96,6.34,55.37,14.05,3.28,,,,,,765081,DRA_VAP_NH_2020
CA-36,57.55,3.5,15.46,17.73,5.76,,,,,,758224,DRA_VAP_NH_2020
CA-37,14.6,23.62,50.34,7.32,4.13,,,,,,755317,DRA_VAP_NH_2020
CA-38,14.63,1.14,56.61,25.74,1.88,,,,,,757523,DRA_VAP_NH_2020
CA-39,22.42,8.72,58.54,6.6,3.73,,,,,,756504,DRA_VAP_NH_2020
CA-40,50.59,4.17,28.95,11.18,5.12,,,,,,758355,DRA_VAP_NH_2020
CA-41,23.95,3.85,57.78,11.14,3.28,,,,,,757743,DRA_VAP_NH_2020
CA-42,48.59,5.46,28.49,12.22,5.24,,,,,,757992,DRA_VAP_NH_2020
CA-43,7.96,24.98,54.07,9.33,3.65,,,,,,754875,DRA_VAP_NH_2020
CA-44,9.36,9.71,67.77,10.11,3.05,,,,,,757709,DRA_VAP_NH_2020
CA-45,22.0,2.41,31.65,40.59,3.35,,,,,,758321,DRA_VAP_NH_2020
CA-46,20.17,1.96,59.81,15.28,2.78,,,,,,757683,DRA_VAP_NH_2020
CA-47,49.34,1.75,16.72,27.23,4.96,,,,,,759243,DRA_VAP_NH_2020
CA-48,47.35,3.88,35.93,7.43,5.41,,,,,,758048,DRA_VAP_NH_2020
CA-49,60.28,2.11,19.65,12.53,5.44,,,,,,758652,DRA_VAP_NH_2020
CA-50,57.43,2.8,16.71,16.98,6.09,,,,,,759364,DRA_VAP_NH_2020
CA-51,53.98,6.42,24.41,8.81,6.38,,,,,,758012,DRA_VAP_NH_2020
CA-52,17.57,7.04,57.47,13.97,3.94,,,,,,761247,DRA_VAP_NH_2020
TX-01,63.14,17.65,14.3,1.2,3.7,,,,,,766987,DRA_VAP_NH_2020
TX-02,52.66,11.0,25.8,6.49,4.05,,,,,,766987,DRA_VAP_NH_2020
TX-03,57.76,10.27,17.23,10.27,4.47,,,,,,766987,DRA_VAP_NH_2020
TX-04,60.74,8.84,10.93,14.7,4.78,,,,,,766987,DRA_VAP_NH_2020
TX-05,51.4,15.43,26.24,3.36,3.58,,,,,,766987,DRA_VAP_NH_2020
TX-06,50.71,11.75,28.21,5.29,4.05,,,,,,766987,DRA_VAP_NH_2020
TX-07,31.2,15.02,32.85,17.85,3.09,,,,,,766987,DRA_VAP_NH_2020
TX-08,41.98,16.16,31.3,7.13,3.43,,,,,,766987,DRA_VAP_NH_2020
TX-09,28.26,9.18,58.63,1.64,2.29,,,,,,766987,DRA_VAP_NH_2020
TX-10,62.52,8.94,18.86,5.88,3.8,,,,,,766987,DRA_VAP_NH_2020
TX-11,51.09,5.97,35.3,4.06,3.57,,,,,,766987,DRA_VAP_NH_2020
TX-12,53.78,8.83,29.8,3.68,3.91,,,,,,766987,DRA_VAP_NH_2020
TX-13,61.83,6.63,24.59,2.57,4.38,,,,,,766987,DRA_VAP_NH_2020
TX-14,53.55,15.39,21.58,6.03,3.45,,,,,,766987,DRA_VAP_NH_2020
TX-15,17.93,1.53,78.32,1.08,1.15,,,,,,766987,DRA_VAP_NH_2020
TX-16,13.02,3.04,80.68,1.46,1.81,,,,,,766987,DRA_VAP_NH_2020
TX-17,59.04,10.16,21.53,5.14,4.13,,,,,,766987,DRA_VAP_NH_2020
TX-18,14.74,43.0,32.17,7.63,2.46,,,,,,766987,DRA_VAP_NH_2020
TX-19,53.69,6.42,34.74,1.97,3.17,,,,,,766987,DRA_VAP_NH_2020
TX-20,18.4,9.1,66.9,2.93,2.68,,,,,,766987,DRA_VAP_NH_2020
TX-21,57.26,3.76,31.89,2.86,4.23,,,,,,766987,DRA_VAP_NH_2020
TX-22,45.86,10.2,27.03,13.47,3.44,,,,,,766987,DRA_VAP_NH_2020
TX-23,33.42,4.08,56.86,2.92,2.71,,,,,,766987,DRA_VAP_NH_2020
TX-24,63.35,6.7,15.88,9.54,4.52,,,,,,766987,DRA_VAP_NH_2020
TX-25,50.86,18.52,23.79,2.98,3.85,,,,,,766987,DRA_VAP_NH_2020
TX-26,58.91,9.49,18.0,8.93,4.66,,,,,,766987,DRA_VAP_NH_2020
TX-27,48.16,6.63,40.49,1.76,2.96,,,,,,766987,DRA_VAP_NH_2020
TX-28,8.6,0.41,89.5,0.65,0.84,,,,,,766987,DRA_VAP_NH_2020
TX-29,12.82,25.73,55.68,3.66,2.11,,,,,,766987,DRA_VAP_NH_2020
TX-30,15.42,44.69,32.36,4.71,2.81,,,,,,766987,DRA_VAP_NH_2020
TX-31,56.91,13.11,20.58,3.77,5.63,,,,,,766987,DRA_VAP_NH_2020
TX-32,52.37,12.44,21.68,9.5,4.0,,,,,,766987,DRA_VAP_NH_2020
TX-33,26.8,14.51,50.25,5.79,2.64,,,,,,766987,DRA_VAP_NH_2020
TX-34,21.26,1.82,73.71,1.58,1.63,,,,,,766987,DRA_VAP_NH_2020
TX-35,34.55,6.8,53.73,1.72,3.2,,,,,,766987,DRA_VAP_NH_2020
TX-36,48.45,17.46,23.85,6.92,3.31,,,,,,766987,DRA_VAP_NH_2020
TX-37,47.22,7.97,34.03,6.76,4.03,,,,,,766987,DRA_VAP_NH_2020
TX-38,51.84,9.45,24.36,10.71,3.63,,,,,,766986,DRA_VAP_NH_2020
OH-01,72.25,17.15,3.1,3.74,3.76,,,,,,786630,DRA_VAP_NH_2020
OH-02,92.15,2.17,1.26,0.72,3.7,,,,,,786629,DRA_VAP_NH_2020
OH-03,59.46,25.07,5.33,5.69,4.46,,,,,,786630,DRA_VAP_NH_2020
OH-04,87.75,5.14,2.2,1.31,3.6,,,,,,786630,DRA_VAP_NH_2020
OH-05,84.76,4.57,6.14,1.03,3.51,,,,,,786630,DRA_VAP_NH_2020
OH-06,87.55,5.91,2.62,0.46,3.46,,,,,,786630,DRA_VAP_NH_2020
OH-07,88.02,2.87,3.03,2.94,3.14,,,,,,786630,DRA_VAP_NH_2020
OH-08,76.34,12.42,3.82,3.65,3.77,,,,,,786630,DRA_VAP_NH_2020
OH-09,78.28,11.07,5.68,1.27,3.7,,,,,,786630,DRA_VAP_NH_2020
OH-10,73.89,15.82,3.32,2.48,4.49,,,,,,786629,DRA_VAP_NH_2020
OH-11,44.52,41.82,6.88,3.09,3.68,,,,,,786630,DRA_VAP_NH_2020
OH-12,87.97,3.79,1.68,2.93,3.64,,,,,,786630,DRA_VAP_NH_2020
OH-13,77.91,12.4,2.24,3.22,4.24,,,,,,786630,DRA_VAP_NH_2020
OH-14,88.57,4.47,2.48,0.93,3.55,,,,,,786630,DRA_VAP_NH_2020
OH-15,76.85,10.0,4.93,3.93,4.29,,,,,,786630,DRA_VAP_NH_2020
NC-01,59.73,31.01,4.63,0.93,3.7,,,,,,745671,DRA_VAP_NH_2020
NC-02,56.97,22.1,10.98,5.96,3.99,,,,,,745670,DRA_VAP_NH_2020
NC-03,56.17,27.57,10.54,1.54,4.18,,,,,,745670,DRA_VAP_NH_2020
NC-04,55.79,20.16,9.8,10.35,3.89,,,,,,745671,DRA_VAP_NH_2020
NC-05,70.67,17.43,6.45,2.07,3.39,,,,,,745671,DRA_VAP_NH_2020
NC-06,66.18,17.94,8.83,3.36,3.68,,,,,,745671,DRA_VAP_NH_2020
NC-07,67.55,18.53,6.63,1.28,6.01,,,,,,745671,DRA_VAP_NH_2020
NC-08,63.62,16.45,7.82,3.29,8.82,,,,,,745671,DRA_VAP_NH_2020
NC-09,62.19,20.43,10.52,1.97,4.88,,,,,,745671,DRA_VAP_NH_2020
NC-10,69.52,15.29,9.22,2.45,3.53,,,,,,745670,DRA_VAP_NH_2020
NC-11,84.76,3.2,6.2,0.9,4.94,,,,,,745670,DRA_VAP_NH_2020
NC-12,39.47,35.87,15.16,5.68,3.82,,,,,,745670,DRA_VAP_NH_2020
NC-13,66.24,18.05,10.69,1.12,3.89,,,,,,745670,DRA_VAP_NH_2020
NC-14,70.8,14.69,7.28,3.55,3.68,,,,,,745671,DRA_VAP_NH_2020
MO-01,45.22,43.05,3.96,3.5,4.26,,,,,,769364,DRA_VAP_NH_2020
MO-02,86.0,2.98,2.42,4.64,3.96,,,,,,769364,DRA_VAP_NH_2020
MO-03,84.38,5.42,3.16,2.48,4.55,,,,,,769364,DRA_VAP_NH_2020
MO-04,81.72,6.63,4.78,1.63,5.24,,,,,,769364,DRA_VAP_NH_2020
MO-05,69.93,16.49,7.03,1.14,5.41,,,,,,769364,DRA_VAP_NH_2020
MO-06,83.88,4.78,4.84,1.76,4.74,,,,,,769364,DRA_VAP_NH_2020
MO-07,85.02,1.9,4.96,1.44,6.67,,,,,,769365,DRA_VAP_NH_2020
MO-08,88.28,4.22,1.94,0.83,4.73,,,,,,769364,DRA_VAP_NH_2020
UT-01,66.07,2.02,20.88,4.79,6.24,,,,,,817904,DRA_VAP_NH_2020
UT-02,81.0,1.05,11.87,1.88,4.19,,,,,,817904,DRA_VAP_NH_2020
UT-03,80.79,0.53,11.54,1.37,5.77,,,,,,817904,DRA_VAP_NH_2020
UT-04,82.64,0.69,9.5,2.64,4.53,,,,,,817904,DRA_VAP_NH_2020
TN-01,89.59,2.15,3.76,0.81,3.69,,,,,,767871,DRA_VAP_NH_2020
TN-02,84.3,5.47,4.34,1.83,4.06,,,,,,767871,DRA_VAP_NH_2020
TN-03,79.9,9.55,4.78,1.5,4.27,,,,,,767871,DRA_VAP_NH_2020
TN-04,67.35,14.39,11.13,3.11,4.02,,,,,,767871,DRA_VAP_NH_2020
TN-05,63.62,26.67,4.71,1.32,3.67,,,,,,767871,DRA_VAP_NH_2020
TN-06,79.05,9.76,5.48,1.9,3.82,,,,,,767871,DRA_VAP_NH_2020
TN-07,74.91,13.22,5.79,1.86,4.23,,,,,,767871,DRA_VAP_NH_2020
TN-08,62.83,25.51,5.7,2.62,3.34,,,,,,767871,DRA_VAP_NH_2020
TN-09,58.23,30.64,5.6,2.51,3.02,,,,,,767872,DRA_VAP_NH_2020
FL-01,72.16,12.15,6.69,2.93,6.08,,,,,,769221,DRA_VAP_NH_2020
FL-02,65.48,21.78,6.42,2.1,4.21,,,,,,769221,DRA_VAP_NH_2020
FL-03,67.73,14.51,10.64,3.2,3.92,,,,,,769221,DRA_VAP_NH_2020
FL-04,55.33,29.6,7.82,2.73,4.53,,,,,,769221,DRA_VAP_NH_2020
FL-05,67.49,11.08,10.86,5.88,4.69,,,,,,769221,DRA_VAP_NH_2020
FL-06,74.76,9.96,9.78,1.57,3.93,,,,,,769221,DRA_VAP_NH_2020
FL-07,64.59,8.42,18.97,3.88,4.13,,,,,,769221,DRA_VAP_NH_2020
FL-08,68.49,8.96,14.24,3.54,4.77,,,,,,769220,DRA_VAP_NH_2020
FL-09,49.16,7.98,36.39,2.86,3.6,,,,,,769221,DRA_VAP_NH_2020
FL-10,35.83,24.37,30.41,4.29,5.1,,,,,,769221,DRA_VAP_NH_2020
FL-11,61.82,8.99,19.82,4.47,4.9,,,,,,769221,DRA_VAP_NH_2020
FL-12,58.89,8.48,24.81,3.87,3.95,,,,,,769221,DRA_VAP_NH_2020
FL-13,76.87,5.17,10.28,3.62,4.05,,,,,,769221,DRA_VAP_NH_2020
FL-14,55.17,10.89,26.02,3.73,4.19,,,,,,769221,DRA_VAP_NH_2020
FL-15,63.91,13.06,14.95,4.04,4.04,,,,,,769221,DRA_VAP_NH_2020
FL-16,70.67,10.81,12.91,2.17,3.43,,,,,,769221,DRA_VAP_NH_2020
FL-17,78.12,5.93,11.0,1.68,3.27,,,,,,769221,DRA_VAP_NH_2020
FL-18,56.25,13.03,24.92,2.02,3.78,,,,,,769221,DRA_VAP_NH_2020
FL-19,72.6,4.03,18.92,1.66,2.79,,,,,,769221,DRA_VAP_NH_2020
FL-20,30.12,38.84,23.26,2.86,4.92,,,,,,769221,DRA_VAP_NH_2020
FL-21,67.52,11.62,15.07,2.24,3.55,,,,,,769221,DRA_VAP_NH_2020
FL-22,48.96,11.73,30.99,4.09,4.22,,,,,,769221,DRA_VAP_NH_2020
FL-23,47.58,21.09,25.9,2.41,3.03,,,,,,769221,DRA_VAP_NH_2020
FL-24,11.6,43.09,40.92,1.57,2.82,,,,,,769221,DRA_VAP_NH_2020
FL-25,58.99,5.74,27.74,2.49,5.05,,,,,,769221,DRA_VAP_NH_2020
FL-26,12.54,7.94,74.27,3.2,2.06,,,,,,769221,DRA_VAP_NH_2020
FL-27,16.79,4.75,74.28,2.01,2.18,,,,,,769221,DRA_VAP_NH_2020
FL-28,15.32,7.98,73.25,1.64,1.8,,,,,,769221,DRA_VAP_NH_2020
LA-01,59.83,20.19,12.28,3.67,4.03,,,,,,776291,DRA_VAP_NH_2020
LA-02,70.03,17.89,6.6,2.1,3.39,,,,,,776306,DRA_VAP_NH_2020
LA-03,67.55,21.69,4.98,1.85,3.93,,,,,,776279,DRA_VAP_NH_2020
LA-04,60.5,29.72,4.34,1.11,4.33,,,,,,776277,DRA_VAP_NH_2020
LA-05,60.61,31.57,3.55,0.97,3.29,,,,,,776288,DRA_VAP_NH_2020
LA-06,31.5,58.19,5.71,1.69,2.92,,,,,,776316,DRA_VAP_NH_2020
AL-01,67.08,23.66,3.26,1.51,4.49,,,,,,717754,DRA_VAP_NH_2020
AL-02,52.5,38.64,3.74,1.78,3.34,,,,,,717755,DRA_VAP_NH_2020
AL-03,71.76,19.83,3.12,1.78,3.52,,,,,,717754,DRA_VAP_NH_2020
AL-04,82.83,6.69,6.1,0.61,3.77,,,,,,717754,DRA_VAP_NH_2020
AL-05,70.27,17.2,5.3,1.88,5.35,,,,,,717754,DRA_VAP_NH_2020
AL-06,71.65,18.48,4.68,1.79,3.41,,,,,,717754,DRA_VAP_NH_2020
AL-07,42.7,49.51,3.66,1.36,2.77,,,,,,717754,DRA_VAP_NH_2020
